Sire,Dam,animal,Column,Block,Chosen/Rejected,Vial,l2,l3,l4,l5
1,81,321,F,1,1,81,1.75973598,0.358450849,0.240572721,0.579449465
1,81,322,F,1,0,81,1.755448127,0.424158132,0.272491844,0.397569496
1,81,323,F,1,0,81,1.718101517,0.364261581,0.334114826,0.382388803
1,81,324,F,1,1,81,1.728216743,0.471943655,0.182845043,0.597985369
1,81,325,F,1,0,81,1.744923433,0.464969595,0.276650339,0.57335353
1,81,326,B,1,1,81,1.728599855,0.46779607,0.519092319,0.939990507
1,81,327,B,1,1,81,1.731412331,0.415204504,0.508497038,0.946686284
1,81,328,B,1,1,81,1.730408,0.366746588,0.283180385,0.776296851
1,81,329,B,1,0,81,1.736773855,0.353892158,0.266277066,0.585524303
1,81,330,B,1,1,81,1.731384067,0.435983456,0.328986957,0.760408844
1,82,331,F,1,1,82,1.787328572,0.355373924,0.336692167,0.706045042
1,82,332,F,1,0,82,1.732268597,0.290531605,0.253770297,0.6946051
1,82,333,F,1,1,82,1.736481999,0.567587292,0.991965761,1.097930041
1,82,334,F,1,0,82,1.784066208,0.387864966,0.258322741,0.811899163
1,82,335,F,1,1,82,1.776756179,0.3756515,0.346104179,0.855550521
1,82,336,B,1,1,82,1.703732314,0.284489449,0.208219305,0.471743102
1,82,337,B,1,0,82,1.711004028,0.248661475,0.188580235,0.338306102
1,82,338,B,1,0,82,1.694493136,0.24616018,0.212053958,0.389358932
1,82,339,B,1,0,82,1.697998122,0.278842824,0.179314274,0.323582601
1,82,340,B,1,0,82,1.69349522,0.250231065,0.18824081,0.391163259
1,83,341,F,1,1,83,1.745313927,0.404462576,0.169333717,0.727522272
1,83,342,F,1,0,83,1.746088023,0.42796714,0.102644803,0.664792849
1,83,343,F,1,0,83,1.78451509,0.441815893,0.140936528,0.635166974
1,83,344,F,1,0,83,1.761361526,0.411821533,0.224325244,0.755491329
1,83,345,F,1,1,83,1.746495869,0.456541475,0.142409008,0.722254311
1,83,346,F,1,0,83,1.6730422,0.259253554,0.267284484,0.438445386
1,83,347,F,1,1,83,1.669913946,0.210582696,0.230635953,0.456199039
1,83,348,F,1,0,83,1.66032588,0.248432035,0.250221058,0.488320366
1,83,349,F,1,1,83,1.690797024,0.299284782,0.27793421,0.481113936
1,83,350,F,1,1,83,1.677209347,0.289360698,0.317977585,0.498200116
1,83,351,B,1,1,83,1.719356394,0.485942833,0.314961375,0.337951471
1,83,352,B,1,0,83,1.653259627,0.274043862,0.313799509,0.456425065
1,83,353,B,1,1,83,1.678311533,0.326726901,0.289031654,0.587773311
1,83,354,B,1,1,83,1.661815723,0.25788819,0.256310285,0.402088153
2,84,355,B,1,0,84,1.746893862,0.353805145,0.2885409,0.625127223
2,84,356,B,1,1,84,1.745954618,0.323873801,0.308947323,0.703862879
2,84,357,B,1,0,84,1.742362764,0.336956977,0.482848291,0.603584103
2,84,358,B,1,1,84,1.735032492,0.462244255,0.509309659,0.379486058
2,84,359,B,1,0,84,1.731292946,0.253434376,0.332302331,0.466930694
2,85,360,F,1,0,85,1.704290085,0.363816039,0.489998679,0.615229159
2,85,361,F,1,1,85,1.694220452,0.331436561,0.454584202,0.518058861
2,85,362,F,1,0,85,1.708352405,0.346215139,0.482370759,0.611737681
2,85,363,F,1,1,85,1.717945902,0.394953153,0.494772259,0.641839408
2,85,364,F,1,0,85,1.713480565,0.363180164,0.444756677,0.638321312
2,85,365,B,1,0,85,1.770932968,0.433504549,0.382306159,0.674169377
2,85,366,B,1,0,85,1.73994799,0.391578728,0.362136733,0.714452122
2,85,367,B,1,1,85,1.752004135,0.383540114,0.38843447,0.654851538
2,85,368,B,1,1,85,1.759641081,0.423609956,0.431042843,0.702691628
2,85,369,B,1,1,85,1.742481979,0.411359882,0.403968395,0.717930231
2,86,370,F,1,0,86,1.723065698,0.430073339,0.406483455,0.545032454
2,86,371,F,1,1,86,1.707603931,0.359282881,0.343637353,0.493850846
2,86,372,F,1,0,86,1.719585782,0.351431373,0.345802649,0.516364938
2,86,373,F,1,0,86,1.718174893,0.44546417,0.360128721,0.509268451
2,86,374,F,1,1,86,1.734771364,0.426276372,0.373075701,0.554554131
2,86,375,B,1,0,86,1.7147136,0.454054909,0.563188901,0.323612654
2,86,376,B,1,0,86,1.730188702,0.384377947,0.389160066,0.579169452
2,86,377,B,1,1,86,1.733526552,0.342298251,0.311862888,0.550337348
3,87,378,B,1,1,87,1.751320317,0.518691802,0.083163369,0.725164535
3,87,379,B,1,0,87,1.731233456,0.499570278,0.157394076,0.704943698
3,87,380,B,1,0,87,1.762335489,0.486767395,0.111891411,0.751013522
3,87,381,B,1,1,87,1.759436528,0.520140867,0.089125887,0.719836314
3,87,382,B,1,1,87,1.757892597,0.470324529,0.116870808,0.70591264
3,88,383,F,1,1,88,1.7045827,0.374096685,0.293222196,0.603037886
3,88,384,F,1,1,88,1.700343182,0.400638372,0.404617997,-0.003661821
3,88,385,F,1,1,88,1.713606615,0.375610972,0.300063904,0.617764895
3,88,386,F,1,0,88,1.687919004,0.384146484,0.32707196,0.667281474
3,88,387,F,1,1,88,1.718547115,0.377608535,0.308066764,0.671960228
3,88,388,B,1,1,88,1.707040633,0.33882739,0.217688172,0.560130972
3,88,389,B,1,0,88,1.727707654,0.427478826,0.239285629,0.588170038
3,88,390,B,1,1,88,1.695579538,0.36914437,0.242990467,0.545592796
3,88,391,B,1,0,88,1.725935524,0.372750767,0.230875558,0.588729433
3,88,392,B,1,1,88,1.713834187,0.390354626,0.271679846,0.635382417
3,89,393,F,1,0,89,1.679633405,0.332055207,0.311006924,0.738347953
3,89,394,F,1,1,89,1.706950497,0.330210438,0.242455514,0.586628017
3,89,395,F,1,0,89,1.709660858,0.40310362,0.235504355,0.714006474
3,89,396,F,1,0,89,1.714432737,0.37446127,0.260564997,0.634321615
3,89,397,B,1,0,89,1.667953212,0.283392137,0.254684833,0.66063721
3,89,398,B,1,0,89,1.652347077,0.276830562,0.331453787,0.731598911
3,89,399,B,1,1,89,1.69792959,0.368564945,0.251693117,0.675182491
3,89,400,B,1,0,89,1.712403636,0.375573457,0.276756749,0.621677873
4,90,401,B,1,0,90,1.722710015,0.25903303,0.189676517,0.640858836
4,90,402,B,1,0,90,1.742556291,0.272022732,0.250300031,0.640102424
4,90,403,B,1,0,90,1.697305071,0.218516897,0.215403082,0.627155184
4,90,404,B,1,1,90,1.737039064,0.302154098,0.240062205,0.589394957
